Year,Month,Type of abuse,No of complaints
2023,December,Compulsory Education,157.0
2023,December,308A - Cruelty to Children,192.0
2023,December,365B - Grave Sexual Abuse,37.0
2023,December,311 - Grievous Hurt,17.0
2023,December,360B - Sexual Exploitation of Children,0.0
2023,December,360D - Offences Related to Adoption,0.0
2023,December,364A - Incest,0.0
2023,December,363 - Rape,3.0
2023,December,Juvenile Delinquency,16.0
2023,December,352 - Kidnapping from Lawful Guardianship,10.0
2023,December,360C - Trafficking,1.0
2023,December,360A - Procreation,5.0
2023,December,288B - Trafficking Restricted Articles/Drugs,4.0
2023,December,345 - Sexual Harassment,48.0
2023,December,288A - Hiring or Employing Children to Act as Procurers for Sexual Intercourse,3.0
2023,December,310 - Cause Hurt,11.0
2023,December,351 - Kidnapping from Sri Lanka,0.0
2023,December,356 - Kidnapping or Abducting with Intent Secretly and Wrongfully to Confine a Person,0.0
2023,December,"71 - CYPO: Neglect of Children, Cruelty",21.0
2023,December,CYPO 20 - Prohibition of Publication of Certain Matters,0.0
2023,December,CYPO 72 - Seduction or Prostitution of Girl Under 16 Years,1.0
2023,December,76 - CYPO: Sale of Tobacco to Person Under 16 Years,0.0
2023,December,CYPO 77 - Preventing Children from Receiving Education,0.0
2023,December,286A - Obscene Publications,2.0
2023,December,"358A - Serfdom, Slavery, Child Soldiers",0.0
2023,December,365A - Gross Indecency,0.0
2023,December,286C - Duty to Inform of Use of Premises for Child Abuse,0.0
2023,December,360E - Soliciting a Child,0.0
2023,December,365C - Publication of Sexual Abuse,0.0
2023,December,CYPO 11 - Restrictions on Reports of Proceedings in Juvenile Courts,0.0
2023,December,,846.0
2023,Total,353 - Abduction,217.0
2023,Total,288 - Procuring to Beg,323.0
2023,Total,35 - CYPO: Child or Young Person in Need of Care & Protection,2526.0
2023,Total,Child Labor,181.0
2023,Total,Compulsory Education,1922.0
2023,Total,308A - Cruelty to Children,2238.0
2023,Total,365B - Grave Sexual Abuse,403.0
2023,Total,311 - Grievous Hurt,266.0
2023,Total,360B - Sexual Exploitation of Children,8.0
2023,Total,360D - Offences Related to Adoption,3.0
2023,Total,364A - Incest,7.0
2023,Total,363 - Rape,50.0
2023,Total,Juvenile Delinquency,310.0
2023,Total,352 - Kidnapping from Lawful Guardianship,58.0
2023,Total,360C - Trafficking,32.0
2023,Total,360A - Procreation,20.0
2023,Total,288B - Trafficking Restricted Articles/Drugs,27.0
2023,Total,345 - Sexual Harassment,469.0
