,Type of abuse,Month,No of complaints
367,345 - Sexual Harassment,November,39
368,"288A - Hiring or employing children to act as procures
for sexual intercourse.",November,1
369,310 - Cause hurt,November,7
370,351 - Kidnapping from Sri Lanka,November,0
371,"356 - Kidnapping or abducting with intent secretly
and wrongfully to confine a person",November,1
372,"CYPO 71 – Neglect of children,Crualty",November,32
373,"CYPO 20 – Prohibition of publication of certain
matters",November,0
374,CYPO 72- seduction or prostitution of girl under 16y,November,0
375,CYPO 76 - sale of tobacco to person under 16 years,November,1
376,"CYPO 77 - preventing children from receiving
education",November,0
377,286 - A- Obscene Publications,November,1
378,"358A – Serfdom, Slavery, Child Soldiers",November,0
379,365 A - Gross Indecency,November,0
380,"286 - C- Duty to inform of use of premises for
child abuse",November,0
381,360E – Soliciting a Child,November,0
382,365 C - Publication of Sexuel Abuse,November,0
383,"CYPO 11 - Restrictions on reports of proseedings in
juvenile courts",November,1
384,,November,880
385,353 - Abduction,December,22
386,288 - Begging,December,24
387,CYPO 35 - in need of Care & Protection,December,259
388,Child Labor,December,13
389,Compulsory Education,December,157
390,308A - Cruelty,December,192
391,365B - Grave Sexual Abuse,December,37
392,311 - Grievous Hurt,December,17
393,360 B - Sexual Exploitation,December,0
394,360D - Offences related to Adoption,December,0
395,364A - Incest,December,0
396,363 - Rape,December,3
397,Juvenile Delinqency,December,16
398,352 - Kidnapping from lawful guardianship,December,10
399,360C - Trafficking,December,1
400,360A - Procreation,December,5
401,288B - Restricted Articles/Drugs,December,4
402,345 - Sexual Harassment,December,48
403,"288A - Hiring or employing children to act as procures
for sexual intercourse.",December,3
404,310 - Cause hurt,December,11
405,351 - Kidnapping from Sri Lanka,December,0
406,"356 - Kidnapping or abducting with intent secretly
and wrongfully to confine a person",December,0
407,"CYPO 71 – Neglect of children,Crualty",December,21
408,"CYPO 20 – Prohibition of publication of certain
matters",December,0
409,CYPO 72- seduction or prostitution of girl under 16y,December,1
410,CYPO 76 - sale of tobacco to person under 16 years,December,0
411,"CYPO 77 - preventing children from receiving
education",December,0
412,286 - A- Obscene Publications,December,2
413,"358A – Serfdom, Slavery, Child Soldiers",December,0
414,365 A - Gross Indecency,December,0
415,"286 - C- Duty to inform of use of premises for
child abuse",December,0
416,360E – Soliciting a Child,December,0
417,365 C - Publication of Sexuel Abuse,December,0
418,"CYPO 11 - Restrictions on reports of proseedings in
juvenile courts",December,0
419,,December,846
420,353 - Abduction,Total,217
421,288 - Begging,Total,323
422,CYPO 35 - in need of Care & Protection,Total,2526
423,Child Labor,Total,181
424,Compulsory Education,Total,1922
425,308A - Cruelty,Total,2238
426,365B - Grave Sexual Abuse,Total,403
427,311 - Grievous Hurt,Total,266
428,360 B - Sexual Exploitation,Total,8
429,360D - Offences related to Adoption,Total,3
430,364A - Incest,Total,7
431,363 - Rape,Total,50
432,Juvenile Delinqency,Total,310
433,352 - Kidnapping from lawful guardianship,Total,58
434,360C - Trafficking,Total,32
435,360A - Procreation,Total,20
436,288B - Restricted Articles/Drugs,Total,27
437,345 - Sexual Harassment,Total,469
438,"288A - Hiring or employing children to act as procures
for sexual intercourse.",Total,9
439,310 - Cause hurt,Total,166
440,351 - Kidnapping from Sri Lanka,Total,4
441,"356 - Kidnapping or abducting with intent secretly
and wrongfully to confine a person",Total,11
442,"CYPO 71 – Neglect of children,Crualty",Total,383
443,"CYPO 20 – Prohibition of publication of certain
matters",Total,1
444,CYPO 72- seduction or prostitution of girl under 16y,Total,9
445,CYPO 76 - sale of tobacco to person under 16 years,Total,4
446,"CYPO 77 - preventing children from receiving
education",Total,8
447,286 - A- Obscene Publications,Total,6
448,"358A – Serfdom, Slavery, Child Soldiers",Total,4
449,365 A - Gross Indecency,Total,1
450,"286 - C- Duty to inform of use of premises for
child abuse",Total,1
451,360E – Soliciting a Child,Total,1
452,365 C - Publication of Sexuel Abuse,Total,4
453,"CYPO 11 - Restrictions on reports of proseedings in
juvenile courts",Total,1
454,,Total,9673
