District,District (sri lankan districts provinces lat long population.csv),District.,Month,Province (sri lankan districts provinces lat long population.csv),Year,F1,Latitude (sri lankan districts provinces lat long population.csv),Longitude (sri lankan districts provinces lat long population.csv),No of complaints,Population
Trincomalee,Trincomalee,Trincomalee,April,Eastern,2023-01-01,261,8.5874,81.2335,13,379541
Vavuniya,Vavuniya,Vavuniya,April,Northern,2023-01-01,262,8.7519,80.5007,6,167591
Unknown,,Unknown,April,,2023-01-01,263,,,25,
,,,April,,2023-01-01,264,,,594,
Ampara,Ampara,Ampara,May,Eastern,2023-01-01,265,7.2914,81.6728,21,649402
Anuradhapura,Anuradhapura,Anuradhapura,May,North Central,2023-01-01,266,8.335,80.4037,50,860575
Badulla,Badulla,Badulla,May,Uva,2023-01-01,267,6.9934,81.055,23,815405
Batticaloa,Batticaloa,Batticaloa,May,Eastern,2023-01-01,268,7.717,81.7056,14,526567
Colombo,Colombo,Colombo,May,Western,2023-01-01,269,6.9271,79.8612,111,2324344
Galle,Galle,Galle,May,Southern,2023-01-01,270,6.0535,80.217,50,1024889
Gampaha,Gampaha,Gampaha,May,Western,2023-01-01,271,7.084,79.8931,96,2290058
Hambanthota,Hambanthota,Hambanthota,May,Southern,2023-01-01,272,6.1241,81.1185,36,594335
Jaffna,Jaffna,Jaffna,May,Northern,2023-01-01,273,9.6615,80.0074,18,583378
Kalutara,Kalutara,Kalutara,May,Western,2023-01-01,274,6.5854,79.9166,51,1221759
Kandy,Kandy,Kandy,May,Central,2023-01-01,275,7.2906,80.6337,37,1374775
Kegalle,Kegalle,Kegalle,May,Sabaragamuwa,2023-01-01,276,7.2513,80.3464,24,840648
Kilinochchi,Kilinochchi,Kilinochchi,May,Northern,2023-01-01,277,9.3842,80.402,4,113510
Kurunegala,Kurunegala,Kurunegala,May,North Western,2023-01-01,278,7.4863,80.0148,74,1618463
Mannar,Mannar,Mannar,May,Northern,2023-01-01,279,8.981,79.9133,4,99548
Matale,Matale,Matale,May,Central,2023-01-01,280,7.4675,80.6234,16,484531
Matara,Matara,Matara,May,Southern,2023-01-01,281,5.9549,80.5353,28,809959
